decade,ctr2,im3y20,mean,sd,V1
1220,uk_north,0.08740261196017843,1.7054168187351646e-5,3.9140924070526154e-5,13
1220,uk_south,0.22013289385400914,2.437255246390651e-5,6.109807233102988e-5,29
1240,be,0.17534855959487344,1.660026125105306e-5,4.1789262201013643e-5,28
1240,ch,0.04523185644876705,1.3152618915023912e-5,2.3597404936761644e-5,11
1240,de_north,0.5427025527716693,1.9554734723153705e-5,4.7831409833698584e-5,84
1240,de_south,0.16178464338507384,1.2771127516977844e-5,3.495901422067585e-5,29
1240,fr_north,1.0488645544508355,2.8396040676037913e-5,6.94674470255384e-5,126
1240,fr_south,0.1576814985315208,8.721804222109883e-6,2.2304347082330214e-5,48
1240,it_north,0.9409604884049179,2.754971419718853e-5,8.37405461754492e-5,100
1240,it_south,0.231999408609726,1.98442741091204e-5,4.8603900536733924e-5,37
1240,nl,0.0761355204384785,1.2573991814777594e-5,1.605767988765109e-5,20
1240,uk_north,0.10683030828787893,2.0675499958947212e-5,4.375125203852932e-5,14
1240,uk_south,0.23819406494990006,2.5927295629683203e-5,5.54330093190363e-5,28
1260,be,0.28661309426168263,2.6189061975666216e-5,6.502404279516706e-5,37
1260,ch,0.04469224650181274,1.278016771570277e-5,2.307377662729583e-5,12
1260,de_north,0.48004142369115765,1.6840604234035007e-5,4.622467822386406e-5,91
1260,de_south,0.18251362113510655,1.3790224490752605e-5,3.3939352817716864e-5,37
1260,fr_north,0.85700913483128,2.3976307487446416e-5,5.9953549130080254e-5,116
1260,fr_south,0.23265052254366464,1.2944445698752084e-5,3.668338195758144e-5,55
1260,it_north,1.057676015687461,3.053601685155998e-5,7.397168964655975e-5,114
1260,it_south,0.316186046533745,2.7728321190366177e-5,6.037410684004659e-5,42
1260,nl,0.10770680317139289,1.609245527736343e-5,2.443244362441856e-5,26
1260,uk_north,0.09269269917263855,1.8325958713451754e-5,4.603374117201632e-5,13
1260,uk_south,0.25334575634960066,2.7373933695256738e-5,7.935300669604903e-5,29
1280,be,0.2038841707735478,1.8775593588133605e-5,3.6284015186842154e-5,30
1280,ch,0.0698546857438383,2.009050495940152e-5,4.311160688880026e-5,13
1280,de_north,0.4955397393423431,1.7352046338761586e-5,3.890837348518103e-5,73
1280,de_south,0.22844811059113232,1.720112270093648e-5,4.3817416116736545e-5,38
1280,fr_north,0.6813166867690295,1.9420137581421984e-5,5.2228704960138315e-5,104
1280,fr_south,0.26994006774506596,1.5195050253029983e-5,3.6605948723101855e-5,60
1280,it_north,0.9191966761710194,2.7526627621688575e-5,8.232271518367502e-5,95
1280,it_south,0.32978673866497926,2.9048422325814613e-5,9.060186737214025e-5,38
1280,nl,0.12652380660868842,1.8170875572122425e-5,3.497680572505573e-5,24
1280,uk_north,0.11003127154278242,2.2287071408301173e-5,5.379933495517699e-5,11
1280,uk_south,0.2100309486565144,2.348551365945544e-5,6.608675596452881e-5,27
1300,be,0.17148353296539004,1.620827343718243e-5,2.9908850179217292e-5,29
1300,ch,0.04723013837616018,1.5314571457898843e-5,2.93670691424359e-5,10
1300,de_north,0.5203323002572313,1.8433197543475655e-5,3.934574043334316e-5,87
1300,de_south,0.19855371491890422,1.517994762376927e-5,2.791021157562399e-5,34
